name,s1_acc,s2_acc,committed_acc,committed_pct,up_mean,down_mean,spread,threshold,s1_threshold,s2_threshold,feature_set
Original 27 features @ No threshold,0.6264682850430697,0.7654320987654321,0.5223179326546593,100.0,0.3811717192177515,-0.46604026596611564,0.8472119851838671,No threshold,0.5,0.5,Original 27 features
27 + 14 gap features @ No threshold,0.6256851996867658,0.806049822064057,0.5403288958496476,100.0,0.4914064277314928,-0.5821642790736559,1.0735707068051488,No threshold,0.5,0.5,27 + 14 gap features
Gap features only (14) @ No threshold,0.5356303837118246,0.7087576374745418,0.42364917776037586,100.0,0.3617645022718341,-0.41436159303851067,0.7761260953103448,No threshold,0.5,0.5,Gap features only (14)
Original 27 features @ Moderate (0.55/0.55),0.6264682850430697,0.7782178217821782,0.544243577545195,82.30227094753329,0.43690580564101944,-0.5127933203207007,0.9496991259617201,Moderate (0.55/0.55),0.55,0.55,Original 27 features
27 + 14 gap features @ Moderate (0.55/0.55),0.6256851996867658,0.8277886497064579,0.5682859761686526,85.43461237274863,0.5461013735577103,-0.6486544582618295,1.1947558318195397,Moderate (0.55/0.55),0.55,0.55,27 + 14 gap features
Gap features only (14) @ Moderate (0.55/0.55),0.5356303837118246,0.7083333333333334,0.4322860238353196,72.27877838684417,0.4125180087428161,-0.48697814076174545,0.8994961495045615,Moderate (0.55/0.55),0.55,0.55,Gap features only (14)
Original 27 features @ Strict (0.60/0.60),0.6264682850430697,0.7905405405405406,0.5729665071770335,65.46593578700079,0.472953493619394,-0.5779641778,1.050917671419394,Strict (0.60/0.60),0.6,0.6,Original 27 features
27 + 14 gap features @ Strict (0.60/0.60),0.6256851996867658,0.8415178571428571,0.5958668197474167,68.20673453406421,0.6332089622309734,-0.6874612895653848,1.3206702517963582,Strict (0.60/0.60),0.6,0.6,27 + 14 gap features
Gap features only (14) @ Strict (0.60/0.60),0.5356303837118246,0.7180327868852459,0.4384,48.94283476898982,0.502273599797619,-0.5310740046601092,1.0333476044577283,Strict (0.60/0.60),0.6,0.6,Gap features only (14)
Original 27 features @ High (0.65/0.65),0.6264682850430697,0.8032345013477089,0.6189735614307932,50.35238841033672,0.5339126060341881,-0.6946375300413795,1.2285501360755675,High (0.65/0.65),0.65,0.65,Original 27 features
27 + 14 gap features @ High (0.65/0.65),0.6256851996867658,0.8492063492063492,0.6191860465116279,53.876272513703995,0.6610854108773585,-0.7378066320599079,1.3988920429372664,High (0.65/0.65),0.65,0.65,27 + 14 gap features
Gap features only (14) @ High (0.65/0.65),0.5356303837118246,0.7,0.4464751958224543,29.992169146436957,0.6461425686636942,-0.6043507715457944,1.2504933402094887,High (0.65/0.65),0.65,0.65,Gap features only (14)
Original 27 features @ Very high (0.70/0.70),0.6264682850430697,0.8178807947019867,0.6794055201698513,36.883320281910734,0.6571262083579545,-0.8200134284888888,1.4771396368468435,Very high (0.70/0.70),0.7,0.7,Original 27 features
27 + 14 gap features @ Very high (0.70/0.70),0.6256851996867658,0.8629283489096573,0.6419294990723562,42.20830070477682,0.7333223886799065,-0.7929015398352273,1.5262239285151338,Very high (0.70/0.70),0.7,0.7,27 + 14 gap features
Gap features only (14) @ Very high (0.70/0.70),0.5356303837118246,0.776,0.4868421052631579,17.854346123727485,0.8356724016190478,-0.7459295084357143,1.581601910054762,Very high (0.70/0.70),0.7,0.7,Gap features only (14)
