initial_imbalance,final_imbalance,imbalance_drift,imbalance_acceleration,final_minus_initial_imbalance,n50_initial_imbalance,n50_final_imbalance,breadth_initial,breadth_final,breadth_drift,depth_imbalance_drift,spread_drift,date,regime,nifty_return,n_snapshots,regime_num,is_trend_up,is_trend_down,drift_positive,day_positive,bullish_signal,bearish_signal,n50_drift
0.9190991888301209,1.0268623757320778,0.010214011463332572,-0.002386179777955949,0.10776318690195696,0.49846003117446275,0.3932638950585163,-125,-445,-320,0.022517951690474002,-0.0012625192860123916,2026-02-24,Trend-Down,-0.011214172,15,-1,0,1,1,0,False,False,-0.10519613611594647
0.9687953737727557,1.0443629883700827,0.006273764467408472,-0.006646934061162044,0.07556761459732697,0.6287187625247084,0.6558888292673352,551,551,0,0.04938354491314026,-0.004093713452747659,2026-02-25,Range,0.002275351,15,0,0,0,1,1,True,False,0.027170066742626786
0.9668200681406063,0.9133363374426027,-0.00862851072584852,-0.00039034188296825786,-0.053483730698003606,0.6066661569903248,0.9648618024143821,101,102,1,-0.001098162159728434,-0.00458972941790246,2026-02-26,Range,0.0005513588,15,0,0,0,0,1,False,False,0.35819564542405735
0.9984952283988665,0.8091880680443818,-0.007367575317235018,0.007347468277354078,-0.1893071603544847,0.420159529584489,0.6625181455789921,-54,-86,-32,-0.0007056834066709927,-0.004616386256451539,2026-03-02,Range,-0.0124291815,15,0,0,0,0,0,False,True,0.24235861599450315
1.160556162132991,0.9064891911975599,-0.005342095921112204,0.003942160466302192,-0.25406697093543107,0.9044658342830718,0.9725157229931257,461,565,104,-0.006745571991658839,-0.005261307793759727,2026-03-04,Range,-0.015491219,15,0,0,0,0,0,False,False,0.06804988871005391
1.020882410775917,1.179054549332149,0.013049577998366603,-0.0009568114503266741,0.15817213855623202,0.8474805699137192,0.8305472533120999,-344,-345,-1,0.0002488812301033382,-0.003612067723318727,2026-03-05,Trend-Up,0.011658259,15,1,1,0,1,1,False,False,-0.01693331660161934
0.8196112729276533,0.9129820917331778,0.0010729772523168201,-0.0016099839077036123,0.09337081880552445,0.7750423949539388,0.8585466911348638,298,300,2,-0.006864598139363354,-0.004604481292841037,2026-03-06,Trend-Down,-0.012737271,15,-1,0,1,1,0,True,False,0.08350429618092503
0.5827458243684035,0.6554331910200677,0.006946476851165401,-0.002159782035390472,0.0726873666516642,0.9522851411760753,0.5565187844555045,103,-1344,-1447,0.002814191683173358,-0.0005378153207465207,2026-03-09,Range,-0.017275756,15,0,0,0,1,0,False,False,-0.3957663567205708
1.2694686903835646,1.330099768777191,0.004029794530528052,0.0018806477858974754,0.06063107839362636,0.6210547653880996,0.7814854309427145,550,741,191,0.2662873228328259,-0.001817002937156007,2026-03-11,Trend-Down,-0.016270567,15,-1,0,1,1,0,True,False,0.16043066555461494
1.6162144997362735,1.2694818246149142,-0.016841613452596518,0.0035735044637118965,-0.3467326751213593,0.7249866592758365,0.8815077134405944,62,67,5,-0.05866517633877583,-0.004208778053810347,2026-03-13,Trend-Down,-0.020645835,15,-1,0,1,0,0,False,False,0.15652105416475792
0.9941543178842122,1.3589683706976947,-0.0025792774492482086,-0.00599124183770884,0.36481405281348256,0.6623542240750856,0.6270060983525974,147,-73,-220,-0.0049230807389182485,-0.001949189830651719,2026-03-16,Trend-Up,0.0111312205,15,1,1,0,0,1,False,True,-0.035348125722488244
1.0653464873314136,1.2167925248056828,0.008557525707902785,-0.005420549454295837,0.1514460374742692,0.7412951377978244,0.7320959172503233,-249,768,1017,-0.00831731630435329,-0.001491265231213308,2026-03-17,Trend-Up,0.007362616,15,1,1,0,1,1,True,False,-0.009199220547501108
0.6475435213484787,0.9325764833333177,0.002756123727440954,-0.008445491467965877,0.28503296198483896,1.0122765583906541,0.8739055219956792,65,711,646,-0.02520889039291225,-0.0014638448963221477,2026-03-18,Trend-Up,0.008339288,15,1,1,0,1,1,True,False,-0.13837103639497494
0.6974047762557918,0.8023070283430872,0.003713389320980056,-0.0026141314693196344,0.10490225208729542,0.21289277270592322,0.4044566663472801,-75,-1385,-1310,-0.0030532201077132855,-0.0015515803410116023,2026-03-19,Trend-Down,-0.032620765,15,-1,0,1,1,0,False,False,0.1915638936413569
